Player,Mat,Inns,Not_Outs,Runs,HS,Ave,BF,SR,hundreds,fifties,Ducks,fours,sixes
H Patel (Can),2,2,0,15,8,7.5,36,42,0,0,0,1,0
HA Varaiya (Kenya),24,17,7,153,34,15.3,285,54,0,0,0,7,0
HH Gibbs (SA),25,25,0,838,110,33.52,983,85,2,4,0,106,12
HJC Mol (Neth),3,3,1,27,18,13.5,76,36,0,0,0,2,0
HM Amla (SA),19,18,3,694,140,46.26,840,83,1,4,0,69,5
HS Baidwan (Can),11,8,3,115,33,23,177,65,0,0,1,4,0
Harbhajan Singh (India),40,20,2,209,49,11.61,224,93,0,0,2,16,6
I Sharma (India),38,11,5,36,13,6,85,42,0,0,1,3,0
IG Butler (NZ),9,6,0,65,25,10.83,103,63,0,0,1,4,2
IH Romaine (Ber),8,8,1,185,60,26.42,217,85,0,1,0,18,5
IJL Trott (Eng),1,1,0,0,0,0,5,0,0,0,1,0,0
IK Pathan (India),22,14,1,231,38,17.76,329,70,0,0,0,18,2
IPP Batuwitarachchi (UA,2,2,0,14,14,7,48,29,0,0,1,0,0
IR Bell (Eng),20,19,2,523,73,30.76,699,75,0,2,2,67,3
IS Billcliff (Can),6,6,0,77,38,12.83,135,57,0,0,0,6,0
Iftikhar Anjum (Pak),21,9,4,44,16,8.8,59,75,0,0,2,5,0
Imran Nazir (Pak),5,5,0,111,35,22.2,115,97,0,0,0,21,0
Imrul Kayes (Bang),3,3,0,27,14,9,77,35,0,0,0,1,0
Irfan Ahmed (HK),2,2,0,25,25,12.5,44,57,0,0,1,5,0
J Botha (SA),28,13,5,137,26,17.12,167,82,0,0,1,18,0
J Edness (Ber),6,6,2,153,45,38.25,202,76,0,0,0,12,3
J Louw (SA),3,1,0,23,23,23,7,329,0,0,0,1,3
J Mubarak (SL),10,9,3,210,60,35,349,60,0,1,0,15,1
J Robinson (Ber),2,1,0,10,10,10,17,59,0,0,0,1,0
J Smits (Neth),10,4,1,53,29,17.66,100,53,0,0,0,5,0
JA Morkel (SA),25,17,7,363,50,36.3,301,121,0,1,0,34,13
JAH Marshall (NZ),2,2,0,165,161,82.5,166,99,1,0,0,11,4
JAR Blain (Scot),8,5,0,75,41,15,158,47,0,0,0,4,0
JD Nel (Scot),10,6,4,15,5,7.5,27,56,0,0,1,1,0
JD Ryder (NZ),21,19,1,637,105,35.38,683,93,1,3,2,71,20
JDP Oram (NZ),25,16,2,422,88,30.14,464,91,0,4,2,27,14
JE Taylor (WI),23,12,1,129,43,11.72,127,102,0,0,1,14,4
JEC Franklin (NZ),4,3,2,63,33,63,69,91,0,0,0,7,0
JF Mooney (Ire),5,4,0,93,42,23.25,162,57,0,0,0,6,2
JH Kallis (SA),25,25,4,1014,121,48.28,1237,82,1,9,0,96,7
JH Stander (Scot),4,4,1,36,22,12,52,69,0,0,1,0,3
JJ Atkinson (HK),2,2,0,41,23,20.5,76,54,0,0,0,5,0
JJ Celestine (Ber),4,4,0,22,12,5.5,51,43,0,0,1,3,0
JJ Tucker (Ber),2,2,0,3,2,1.5,13,23,0,0,0,0,0
JK Kamande (Kenya),23,20,1,410,74,21.57,578,71,0,2,2,33,6
JL Denly (Eng),9,9,0,268,67,29.77,409,66,0,2,0,31,1
JL Ontong (SA),5,3,0,69,27,23,87,79,0,0,0,7,0
JM Anderson (Eng),36,16,9,40,11,5.71,98,41,0,0,1,3,0
